,1.1 映射,【口误修正】Rg包含于Df,第八版可以看本视频（与第七版差别非常小）,1.1 函数,1.1 函数的几种特性,1.1 反函数 复合函数 初等函数,1.2 数列极限的定义,1.2 收敛数列的性质,反三角函数介绍,1.3 函数极限,1.4 无穷小与无穷大,1.5 极限运算准则（修后）,1.6 极限存在准则 两个重要极限,1.7 无穷小的比较,1.8 函数的连续性与间断点,1.9 例5～例8,1.10 闭区间连续函数的性质2,2.1 导数定义,2.1 常用求导公式举例,2.1 单侧导数,2.1 导数的几何含义,练习题：导数定义 切线 法线,2.1 可导与连续的关系,2.2 求导法则（和差积商）,2.2 反函数的求导法则,复合函数求导法则,复合函数求导（补充）,导数公式表,高阶导数,隐函数求导,参数方程求导,练习：高阶导数 参数方程 隐函数求导,微分的定义,基本微分公式与法则,微分的几何意义,微分在近似计算中的应用,微分中值定理,柯西中值定理,洛必达法则,泰勒公式,函数的单调性,函数的凹凸性和拐点,极值及其求法,函数图形的绘制,曲率,不定积分的定义,积分表,抖肩舞,不定积分的性质,第一类换元积分法,第二类换元积分法,分部积分法,有理函数积分,【五-1】定积分的概念,【五-2】定积分的性质,【五-3】微积分基本公式,【五-4】定积分的换元法,【五-5】定积分的分部积分法,【五-6】无穷限的反常积分,【五-7】无界函数的反常积分,【五-8】伽马函数,【六-1】定积分的应用-元素法,【六-2】定积分应用--求面积,【六-3】定积分应用--求面积（二）,【六-4】定积分应用--求面积极坐标情形,【六-5】定积分应用--旋转体体积,【六-6】定积分应用--平面曲线的弧长,【新】定积分应用--物理学,【七-1】微分方程的基本概念,【七-2】可分离变量的微分方程,【七-3】齐次方程,【七-4】一阶线性微分方程,【七-5】可降阶的高阶微分方程,【七-6】常系数线性齐次微分方程,【七-7】补充证明过程（可略）,【八-1】向量及线性运算,【八-2】空间直角坐标系,【八-3】向量模 两点距离,【八-4】方向角方向余弦,【八-5】数量积,【八-6】向量积,【八-7】平面及其方程,【八-8】平面的一般方程,【八-9】两平面的夹角,【八-10】空间直线及其方程,【八-11】两直线的夹角&直线与平面的夹角,杂例,曲面及其方程,旋转曲面,柱面,二次曲面,空间曲线及其方程,【九-1】多元函数的基本概念--平面点集,【九-2】n维空间,【九-3】多元函数的极限,【九-4】偏导数,【九-6】全微分,【九-7】多元复合函数求导（理论讲解）,【九-8】多元复合函数求导（例子讲解）,【九-9】隐函数求导（一个方程）,【九-10】隐函数求导（方程组）,【9-10】隐函数求导（方程组）例3符号更正,【九-11】一元向量值函数及其导数,【九-12】空间曲线的切线与法平面,【九-13】空间曲面的切平面与法线,【九-14】方向导数,【九-15】梯度,【九-16】方向导数和梯度的解释,【九-17】梯度（例题#1）,【九-18】梯度（例题#2）,【九-19】多元函数的极值,【九-20】数量场向量场,【九-21】多元函数的最值,【九-22】条件极值 拉格朗日乘数法（理论讲解）,【九-23】极值例题,【十-1】二重积分的定义,【十-2】二重积分的性质,【十-3】二重积分的计算（直角坐标系）,【十-4】极坐标介绍1,【十-5】极坐标介绍2,【十-6】二重积分（极坐标）,【十-7】极坐标例题,【十-8】二重积分的换元法,【十-9】三重积分的定义,【十-10】密度均匀&&不均匀的理解,【十-11】三重积分的计算（直角坐标系）,【十-12】例2,【十-13】柱面坐标,【十-14】三重积分球面坐标（插入了新例题 ）,【十-15】三重积分的应用（求曲面的面积）新增加了证明,【十-16】重积分应用（求质心）,【十-17】重积分应用（求转动惯量）,【十-18】重积分应用（求引力）,【十一（1）】对弧长的曲线积分（概念与性质）,【十一（2）】曲线积分的计算,【十一（3）】对坐标的曲线积分（概念和性质）,【十一（4）】对坐标的曲线积分（计算）,【十一（5）】例题,【十一（6）】两类曲线积分的联系,【十一（7）】格林公式的定义和证明,【十一（8）】格林公式的计算,【十一（9）】对面积的曲面积分,【十一（10）】第二类曲面积分的计算及两类曲面积分的关系,【十一（11）】高斯公式 散度 通量,【十二（1）】常数项级数的概念和性质,【十二（2）】正项级数（一）,【十二（3）】正项级数（二）,【十二（4）】交错级数,【十二（5）】任意项级数,【十二（6）】幂级数（1）,【十二（7）】幂级数（2）,【十二（8）】幂级数的运算,【十二（9）】例题2,【十二（10）】函数展成幂级数（1）,【十二（11）】函数展成幂级数（2）,【十二（12）】例题讲解
2023-12-13 03:12,66,1,2,12,16,11,20,20,6,31,4,13,15,16,11,3,5,10,9,6,3,5,1,6,13,4,1,3,9,9,4,6,16,4,2,8,14,7,20,17,5,8,10,7,9,19,7,1,36,69,71,36,37,41,22,58,52,9,20,20,7,11,12,8,7,26,11,6,5,4,11,6,5,7,5,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,3,3,5,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,3,1,1,4,1,1,1,2,1,1
2023-12-13 03:22,64,1,2,11,16,11,20,20,10,30,4,14,13,17,9,3,3,7,9,4,3,5,1,4,13,3,1,4,9,7,4,7,16,5,2,4,16,7,17,17,4,9,9,9,7,21,4,2,32,67,62,30,34,43,17,53,51,10,17,19,6,12,11,8,7,26,9,8,6,3,11,4,6,7,5,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,5,2,6,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,3,1,1,4,1,1,1,2,1,1
2023-12-13 03:33,56,1,3,10,15,9,21,19,8,33,5,11,11,18,12,4,5,6,9,4,3,4,1,4,12,4,1,3,8,7,4,9,14,6,2,4,17,6,20,13,5,10,10,7,8,19,3,1,31,66,59,33,32,43,15,45,55,7,17,15,9,10,11,9,6,23,10,9,6,2,10,6,5,8,4,2,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,4,1,5,2,2,6,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,3,2,1,1,2,1,1,2,1,4,1,1,1,2,1,1
2023-12-13 03:43,52,2,2,10,14,9,22,21,8,34,2,13,10,17,11,5,3,7,8,4,4,6,1,6,11,4,1,4,8,8,3,5,15,5,3,5,15,6,17,14,4,10,7,10,8,20,5,1,26,60,61,33,34,40,14,40,52,6,21,15,8,13,9,10,9,21,8,10,6,4,9,6,5,7,4,2,1,1,2,3,1,2,1,1,1,1,1,1,1,1,1,1,3,1,5,2,2,5,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,4,1,1,1,1,2,2,1,1,2,1,1
2023-12-13 03:53,55,1,3,9,15,8,18,18,6,36,3,13,11,15,10,4,4,7,8,3,3,7,1,6,10,3,1,3,7,8,2,6,15,5,3,5,13,7,15,10,3,10,6,10,7,19,8,2,28,61,56,31,30,41,13,36,51,8,17,15,6,9,10,7,8,22,9,7,3,2,12,6,6,7,4,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,2,3,5,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1
2023-12-13 04:03,52,1,2,11,11,8,17,19,5,32,2,13,11,13,9,5,3,6,9,3,3,6,1,5,11,3,1,3,7,6,2,7,12,6,3,6,16,6,17,10,2,10,7,11,6,20,4,1,30,56,52,35,28,38,14,30,52,6,14,16,5,13,7,7,6,23,8,7,6,2,12,6,6,7,4,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,2,2,5,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,3,1,1,1,1,2,2,1,1,2,1,1
2023-12-13 04:14,49,1,1,10,17,7,17,20,8,33,3,8,13,13,9,4,2,7,8,3,3,5,1,7,9,4,1,3,8,7,1,4,14,4,3,7,15,7,13,13,3,9,9,10,6,21,6,2,25,56,51,34,32,41,15,31,47,3,14,18,4,12,8,7,6,22,8,6,6,3,11,9,7,7,5,1,2,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,3,1,4,3,3,5,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,3,1,1,1,1,2,2,1,1,2,1,1
2023-12-13 04:24,56,1,1,13,15,6,17,20,8,34,4,8,13,14,7,3,3,7,9,3,3,6,1,6,10,3,1,4,7,7,1,4,13,3,3,9,11,6,12,9,1,8,7,9,9,18,6,2,26,53,58,30,31,38,16,30,48,4,15,15,6,14,8,7,6,20,9,6,2,2,14,5,5,8,3,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,3,5,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,3,1,1,1,1,3,2,1,1,2,1,1
2023-12-13 04:35,55,1,1,8,15,7,15,21,7,34,3,6,13,13,7,3,3,6,7,6,2,5,1,6,8,4,1,4,6,6,1,4,12,4,3,6,12,6,14,12,1,7,8,8,7,19,6,2,27,58,54,36,33,33,19,28,47,4,12,14,5,14,7,8,6,17,8,5,3,1,13,5,4,7,4,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,3,5,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,3,1,1,1,3,1,1
2023-12-13 04:45,51,1,1,10,15,8,14,21,7,32,2,7,12,12,7,4,2,7,6,3,4,5,1,5,11,3,1,4,7,6,2,5,12,7,2,6,10,8,13,10,3,7,8,8,6,18,5,1,24,61,49,36,32,32,17,34,40,5,13,15,4,14,8,7,7,18,7,5,4,2,11,10,5,6,5,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,2,5,1,1,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,3,1,1
2023-12-13 04:56,52,1,1,10,14,9,15,21,8,29,4,7,10,11,7,3,2,6,7,3,2,5,3,5,11,4,1,3,8,7,1,5,11,6,3,6,8,9,13,11,5,10,6,7,7,18,4,1,26,58,48,32,29,34,18,30,35,6,12,17,5,12,10,7,6,18,9,6,6,1,10,9,5,6,4,2,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,3,1,4,2,2,5,1,1,1,1,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,3,1,1,1,3,1,1
2023-12-13 05:06,53,1,1,9,14,8,17,18,6,30,3,6,11,11,7,3,2,7,6,3,2,6,1,7,11,6,1,3,9,7,1,5,11,5,2,5,9,7,12,11,1,9,8,7,7,19,4,1,24,58,47,32,30,37,19,35,33,7,13,15,7,11,10,7,6,19,7,4,5,2,9,6,6,7,3,2,2,1,2,3,1,2,2,1,1,1,1,1,1,1,1,1,2,1,5,2,2,5,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,4,1,1
2023-12-13 05:17,54,1,1,9,15,8,15,19,8,24,3,7,12,12,7,3,2,6,7,3,2,7,1,6,13,5,1,3,7,6,2,6,11,6,3,5,7,8,15,10,1,8,5,8,7,18,5,1,23,55,49,31,27,35,15,38,33,4,12,15,5,11,9,8,7,14,7,6,3,1,8,7,4,8,3,2,3,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,4,2,2,5,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,2,1,1,4,1,1
2023-12-13 05:27,56,1,1,8,14,7,14,18,6,27,3,8,10,11,6,3,2,6,7,4,2,6,2,5,11,5,1,4,7,6,1,6,11,5,3,6,10,6,16,10,1,8,7,8,7,18,5,1,25,55,48,30,27,39,16,39,37,3,14,14,6,10,9,10,8,15,6,7,5,1,8,5,5,7,4,2,2,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,2,5,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,3,1,1
2023-12-13 05:38,61,1,2,9,12,7,13,18,9,26,4,8,10,10,5,3,2,7,6,3,3,7,1,5,10,5,1,4,8,6,1,4,11,7,3,5,7,6,16,10,1,8,6,8,7,20,6,2,22,57,48,31,26,38,19,42,32,4,14,14,5,8,9,9,10,16,8,6,4,1,8,4,6,6,4,2,2,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,2,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,3,1,1
2023-12-13 05:48,55,2,1,9,13,9,15,17,6,28,5,10,10,12,5,3,2,6,7,3,2,6,1,4,11,4,1,3,9,7,2,3,12,7,2,3,10,7,14,12,1,8,5,7,7,24,6,1,21,55,45,31,23,37,19,37,39,4,12,15,5,9,8,9,7,18,8,4,4,2,9,6,5,8,3,1,5,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,2,1,4,3,2,5,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1
2023-12-13 05:59,53,1,1,7,14,6,13,16,7,25,5,8,12,12,5,3,2,5,7,3,2,6,1,3,12,3,1,4,7,8,1,5,11,7,2,5,8,7,18,11,2,8,5,6,8,19,7,1,25,51,48,29,28,36,18,35,41,7,12,15,3,8,8,8,7,18,5,4,2,3,11,5,4,7,4,1,3,1,1,3,3,2,1,1,1,1,1,1,2,1,1,1,2,1,4,2,2,5,2,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,2
2023-12-13 06:09,54,1,1,9,14,6,13,18,7,26,3,9,16,10,5,4,2,5,7,3,2,5,2,5,12,5,1,3,7,8,1,4,14,6,3,4,9,9,17,15,3,8,7,6,8,19,8,1,24,52,51,29,31,35,19,42,45,3,17,15,4,9,8,9,6,19,5,7,4,2,12,6,7,6,4,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,3,3,2,5,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2
2023-12-13 06:19,54,1,1,9,12,6,12,18,7,26,3,9,14,9,5,5,2,6,7,3,2,7,1,4,11,4,1,3,8,7,1,6,14,8,3,5,9,8,19,14,3,7,8,5,10,20,9,1,28,54,57,29,33,41,18,42,53,6,17,16,3,12,9,7,6,23,6,6,5,1,11,9,6,6,3,1,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1,5,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,1,1,1,3,1,1,1,3,1,2
2023-12-13 06:30,54,1,1,9,11,8,10,20,7,27,3,8,14,11,6,4,2,5,7,3,2,5,2,5,10,3,1,4,7,7,2,7,13,7,3,6,11,7,20,15,2,7,8,4,10,24,10,1,25,56,63,34,32,41,23,43,55,3,16,13,3,12,12,6,6,24,7,7,2,2,9,9,6,7,3,1,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1,5,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,2,2,1,1,2,1,1,1,4,1,1
2023-12-13 06:40,56,1,1,8,11,8,13,20,10,25,3,11,15,10,6,6,2,5,6,3,2,5,1,5,14,4,1,4,7,11,2,5,14,8,2,7,11,8,18,11,2,7,8,5,8,28,9,1,25,59,54,45,38,41,26,43,59,5,18,14,4,14,11,9,6,25,9,6,4,3,11,7,6,10,4,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,3,1,3,3,1,5,1,1,1,1,1,2,1,4,1,1,1,1,1,2,1,1,2,1,1,5,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,2,2,1,1,2,1,1,1,4,1,1
2023-12-13 06:50,60,1,1,9,11,9,15,20,8,29,2,11,15,12,5,6,2,5,7,3,2,4,1,9,18,2,1,3,5,12,2,7,13,7,2,6,10,11,20,11,7,7,7,6,7,25,11,1,24,58,63,39,39,46,29,48,62,8,20,12,5,13,14,9,8,23,6,8,4,2,12,9,8,9,3,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,4,1,3,3,2,5,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,3,1,1,1,4,1,1
2023-12-13 07:01,60,1,1,9,10,7,19,22,8,32,3,8,18,15,7,5,2,6,6,3,3,4,1,5,16,4,1,4,7,12,2,4,18,7,2,9,10,12,18,12,2,10,7,7,9,24,11,1,26,63,66,46,45,50,32,61,61,10,24,16,3,12,15,11,7,23,6,9,7,2,13,10,9,11,2,1,1,1,1,3,1,1,2,1,2,1,1,1,1,1,1,1,2,1,5,2,1,6,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,3,1,1,1,3,2,1
2023-12-13 07:11,63,2,2,13,12,7,21,23,6,34,4,6,26,15,9,6,3,7,10,4,3,5,1,5,15,5,1,4,8,8,3,7,21,13,3,12,15,9,22,15,4,13,7,8,14,37,13,1,35,84,86,45,58,78,38,71,85,21,33,21,5,24,23,13,8,34,14,10,9,6,13,14,7,14,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,4,3,3,6,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,6,1,1,1,1,3,2,1,1,3,1,1
2023-12-13 07:22,61,2,3,15,13,12,27,24,12,34,6,10,30,19,17,9,3,11,9,6,4,5,3,6,15,4,1,3,10,8,3,10,25,17,6,11,21,7,28,27,5,17,11,10,18,43,15,4,40,110,100,64,77,105,50,97,119,27,47,27,11,29,34,17,10,43,18,6,11,7,23,16,8,11,3,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,2,1,3,1,5,2,6,5,1,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,2,1,2,1,4,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,9,1,2,1,1,2,3,1,1,3,1,1
2023-12-13 07:32,81,1,2,11,20,13,21,27,13,40,8,13,35,23,16,10,4,11,11,6,6,5,3,9,17,7,1,4,7,11,5,11,24,15,6,12,22,17,35,35,5,18,21,10,20,50,20,5,45,125,126,90,84,143,64,116,144,28,61,36,7,35,43,22,20,69,18,7,14,15,24,24,16,18,3,1,2,1,2,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,5,3,7,5,1,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,5,2,2,1,1,2,2,1,1,4,1,1
2023-12-13 07:42,81,1,1,13,24,13,29,28,11,46,9,17,28,27,15,7,8,13,16,7,3,6,4,9,17,6,1,5,12,12,4,10,32,9,9,18,22,18,33,35,12,15,21,17,20,58,27,3,49,131,137,92,102,165,79,144,168,34,73,44,12,38,55,15,13,84,26,11,13,14,29,34,17,19,4,2,3,1,1,2,1,3,1,1,1,2,1,1,2,1,1,2,3,1,5,5,4,5,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,7,2,2,1,1,2,1,1,1,4,1,1
2023-12-13 07:53,94,2,2,12,28,15,34,25,10,46,10,20,29,25,15,8,10,9,11,8,7,9,4,10,16,11,1,6,10,17,8,8,34,23,5,18,19,12,37,40,10,22,22,24,19,58,23,4,63,147,137,111,108,167,83,176,190,38,85,50,18,51,68,23,13,91,26,15,25,20,44,35,22,21,6,5,2,1,2,2,1,3,2,1,1,1,1,2,3,1,1,2,2,1,7,5,4,5,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,4,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,4,1,1,6,3,5,1,1,7,1,1,1,3,1,2
2023-12-13 08:03,135,2,2,19,33,22,41,35,16,59,18,29,43,30,23,12,19,27,21,12,11,12,10,14,28,10,1,7,23,28,8,12,42,24,11,28,30,23,61,46,24,19,36,27,40,88,28,3,99,213,204,173,190,274,127,270,292,61,109,67,22,59,76,30,24,95,40,17,36,22,42,43,22,21,2,4,1,1,1,2,2,4,1,1,1,1,1,1,3,1,1,4,3,1,7,6,4,7,1,1,2,1,1,2,1,3,2,1,1,1,2,1,1,1,1,3,1,4,1,2,2,1,4,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,3,2,1,12,4,3,1,1,9,2,1,1,3,1,2
2023-12-13 08:13,167,1,2,38,42,30,68,51,42,106,24,58,68,44,46,29,30,46,25,15,23,14,7,28,46,17,6,13,53,59,22,34,87,39,26,61,65,28,105,85,43,37,55,47,72,196,50,11,163,423,361,309,353,581,233,484,503,109,241,109,40,152,127,44,28,196,69,34,63,45,72,63,37,39,4,9,6,1,1,5,1,6,4,1,3,2,1,3,4,1,1,4,9,2,14,9,7,10,1,1,3,1,2,2,1,2,1,1,1,1,7,1,1,2,3,3,3,7,1,3,2,1,3,1,1,2,1,3,2,1,1,1,1,1,2,1,1,2,1,4,1,5,2,2,16,4,7,1,1,8,4,1,1,3,1,4
2023-12-13 08:24,176,2,3,27,67,33,96,62,49,136,35,66,96,53,65,33,31,48,37,27,35,20,11,31,49,39,3,18,60,71,28,34,123,42,23,87,93,44,122,105,57,68,63,59,110,253,65,11,229,574,490,385,417,741,314,629,696,137,275,165,37,164,203,54,37,286,95,44,80,67,116,110,33,61,5,8,8,1,3,6,2,4,4,4,3,1,3,3,4,1,1,4,9,1,15,13,9,11,5,1,1,1,2,3,1,3,1,1,1,1,6,1,1,2,2,6,4,7,3,2,4,1,4,1,1,2,1,3,2,1,1,1,1,1,2,2,1,1,1,2,1,5,1,2,21,7,9,2,2,7,2,1,1,3,1,4
2023-12-13 08:34,178,2,5,40,75,48,113,85,52,187,46,67,123,64,81,38,34,63,43,16,35,38,22,29,66,52,6,16,77,82,31,52,125,74,25,100,115,56,152,138,63,84,82,71,121,297,99,17,273,696,552,462,482,832,399,748,863,167,319,212,54,182,293,71,45,366,113,52,79,76,160,118,60,65,7,10,5,2,7,4,4,6,4,2,4,1,4,4,6,1,2,3,7,5,16,18,14,13,1,5,2,1,3,4,1,5,3,1,1,1,2,2,1,2,4,6,5,10,4,3,3,1,4,1,1,1,1,2,2,3,1,1,1,3,3,4,1,1,1,2,1,3,2,1,22,9,7,3,1,9,5,1,2,5,1,4
